eventId,exhibitorId,exhibitorName,boothId,boothCode,zoneId,hallId,hallName,boothSizeType,boothAreaSqm,status,assignedAt,packageTier,discountPct,amountPaidAed
EVT001,EXH0215,Lumina Intelligence PLC,EVT001_BTH_0001,HZB01-B001,zoneB,HZB01,East Hall 1,corner,24,active,2025-12-24T11:00:00+00:00,Premium,0.1,45360
EVT001,EXH0243,CloudNine Technologies Inc,EVT001_BTH_0002,HZB01-B002,zoneB,HZB01,East Hall 1,corner,9,active,2025-12-24T11:00:00+00:00,Starter,0,12600
EVT001,EXH0201,Cobalt Solutions LLC,EVT001_BTH_0003,HZB01-B003,zoneB,HZB01,East Hall 1,corner,12,active,2025-12-24T11:00:00+00:00,Standard,0,20400
EVT001,EXH0216,Nova Systems LLC,EVT001_BTH_0004,HZB02-B001,zoneB,HZB02,East Hall 2,corner,18,active,2025-12-24T11:00:00+00:00,Standard,0,30600
EVT001,EXH0191,Skyline Cloud GmbH,EVT001_BTH_0005,HZB02-B002,zoneB,HZB02,East Hall 2,standard,18,active,2025-12-24T11:00:00+00:00,Standard,0,30600
EVT001,EXH0062,BluePeak Consulting PLC,EVT001_BTH_0006,HZB02-B003,zoneB,HZB02,East Hall 2,standard,12,active,2025-12-24T11:00:00+00:00,Starter,0,16800
EVT001,EXH0207,RedStone Labs LLC,EVT001_BTH_0007,HZB03-B001,zoneB,HZB03,East Hall 3,standard,12,active,2025-12-24T11:00:00+00:00,Starter,0,16800
EVT001,EXH0092,Apex Security GmbH,EVT001_BTH_0008,HZB03-B002,zoneB,HZB03,East Hall 3,standard,12,active,2025-12-24T11:00:00+00:00,Standard,0.05,19380
EVT001,EXH0003,Pulse Security LLC,EVT001_BTH_0009,HZB03-B003,zoneB,HZB03,East Hall 3,standard,12,active,2025-12-24T11:00:00+00:00,Standard,0.1,18360
EVT001,EXH0064,Stratus Engineering PLC,EVT001_BTH_0010,HZB03-B004,zoneB,HZB03,East Hall 3,standard,18,active,2025-12-24T11:00:00+00:00,Standard,0.1,27540
EVT001,EXH0105,IronGate Analytics Ltd,EVT001_BTH_0011,HZB04-B001,zoneB,HZB04,East Hall 4,standard,18,active,2025-12-24T11:00:00+00:00,Standard,0.15,26010
EVT001,EXH0159,Sentra Analytics Ltd,EVT001_BTH_0012,HZB04-B002,zoneB,HZB04,East Hall 4,corner,18,active,2025-12-24T11:00:00+00:00,Premium,0.05,35910
EVT001,EXH0226,Polaris Labs S.A.,EVT001_BTH_0013,HZB04-B003,zoneB,HZB04,East Hall 4,standard,18,active,2025-12-24T11:00:00+00:00,Standard,0.05,29070
EVT001,EXH0071,Terra Technologies Ltd,EVT001_BTH_0014,HZB04-B004,zoneB,HZB04,East Hall 4,standard,12,active,2025-12-24T11:00:00+00:00,Starter,0.15,14280
EVT001,EXH0246,Nexa Consulting FZ-LLC,EVT001_BTH_0015,HZC01-B001,zoneC,HZC01,Hall 1,standard,18,active,2025-12-24T11:00:00+00:00,Premium,0.05,35910
EVT001,EXH0022,Orion Security FZ-LLC,EVT001_BTH_0016,HZC01-B002,zoneC,HZC01,Hall 1,standard,18,active,2025-12-24T11:00:00+00:00,Premium,0,37800
EVT001,EXH0106,CloudNine Consulting GmbH,EVT001_BTH_0017,HZC01-B003,zoneC,HZC01,Hall 1,standard,12,active,2025-12-24T11:00:00+00:00,Starter,0,16800
EVT001,EXH0085,Kairo Services LLC,EVT001_BTH_0018,HZC01-B004,zoneC,HZC01,Hall 1,standard,12,active,2025-12-24T11:00:00+00:00,Standard,0,20400
EVT001,EXH0025,Pulse Intelligence S.A.,EVT001_BTH_0019,HZC01-B005,zoneC,HZC01,Hall 1,standard,9,active,2025-12-24T11:00:00+00:00,Starter,0,12600
EVT001,EXH0060,IronGate Solutions S.A.,EVT001_BTH_0020,HZC01-B006,zoneC,HZC01,Hall 1,standard,18,active,2025-12-24T11:00:00+00:00,Standard,0.05,29070
EVT001,EXH0077,Pulse Services Inc,EVT001_BTH_0021,HZC01-B007,zoneC,HZC01,Hall 1,standard,12,active,2025-12-24T11:00:00+00:00,Starter,0,16800
EVT001,EXH0234,Nimbus Technologies S.A.,EVT001_BTH_0022,HZB08-B001,zoneB,HZB08,Hall 10,corner,12,active,2025-12-24T11:00:00+00:00,Standard,0,20400
EVT001,EXH0067,Saffron Services S.A.,EVT001_BTH_0023,HZB08-B002,zoneB,HZB08,Hall 10,standard,12,active,2025-12-24T11:00:00+00:00,Starter,0.15,14280
EVT001,EXH0212,Aurora Platforms FZ-LLC,EVT001_BTH_0024,HZC02-B001,zoneC,HZC02,Hall 2,island,18,active,2025-12-24T11:00:00+00:00,Standard,0.05,29070
EVT001,EXH0111,Nexa Solutions Inc,EVT001_BTH_0025,HZC02-B002,zoneC,HZC02,Hall 2,corner,36,active,2025-12-24T11:00:00+00:00,Platinum,0,93600
EVT001,EXH0075,Orion Dynamics LLC,EVT001_BTH_0026,HZC03-B001,zoneC,HZC03,Hall 3,standard,12,active,2025-12-24T11:00:00+00:00,Starter,0,16800
EVT001,EXH0177,Saffron Solutions Inc,EVT001_BTH_0027,HZC03-B002,zoneC,HZC03,Hall 3,standard,24,active,2025-12-24T11:00:00+00:00,Premium,0,50400
