venueId,venueName,venueCapacity,zoneId,zoneCapacity,hallId,hallName,hallCapacity,venueRole
VN1,DWTC,8040,zoneA,2120,HZA01,SouthHall1,450,mainStage
VN1,DWTC,8040,zoneA,2120,HZA02,SouthHall2,400,exhibitionHall
VN1,DWTC,8040,zoneA,2120,HZA03,SouthHall3,350,exhibitionHall
VN1,DWTC,8040,zoneA,2120,HZA04,SouthHall4,320,circulation
VN1,DWTC,8040,zoneA,2120,HZA05,SouthHall5,320,foodBeverages
VN1,DWTC,8040,zoneA,2120,HZA06,SouthHall6,280,exhibitionHall
VN1,DWTC,8040,zoneB,2680,HZB01,EastHall1,350,mainStage
VN1,DWTC,8040,zoneB,2680,HZB02,EastHall2,350,exhibitionHall
VN1,DWTC,8040,zoneB,2680,HZB03,EastHall3,350,exhibitionHall
VN1,DWTC,8040,zoneB,2680,HZB04,EastHall4,350,exhibitionHall
VN1,DWTC,8040,zoneB,2680,HZB05,Hall7,320,circulation
VN1,DWTC,8040,zoneB,2680,HZB06,Hall8,320,circulation
VN1,DWTC,8040,zoneB,2680,HZB07,Hall9,320,exhibitionHall
VN1,DWTC,8040,zoneB,2680,HZB08,Hall10,320,exhibitionHall
VN1,DWTC,8040,zoneC,1560,HZC01,Hall1,260,mainStage
VN1,DWTC,8040,zoneC,1560,HZC02,Hall2,260,exhibitionHall
VN1,DWTC,8040,zoneC,1560,HZC03,Hall3,260,exhibitionHall
VN1,DWTC,8040,zoneC,1560,HZC04,Hall4,260,circulation
VN1,DWTC,8040,zoneC,1560,HZC05,Hall5,260,circulation
VN1,DWTC,8040,zoneC,1560,HZC06,Hall6,260,circulation
VN1,DWTC,8040,zoneD,1680,HZD01,NorthHall1,320,exhibitionHall
VN1,DWTC,8040,zoneD,1680,HZD02,NorthHall2,320,exhibitionHall
VN1,DWTC,8040,zoneD,1680,HZD03,NorthHall3,280,circulation
VN1,DWTC,8040,zoneD,1680,HZD04,NorthHall4,280,circulation
VN1,DWTC,8040,zoneD,1680,HZD05,NorthHall5,260,exhibitionHall
VN1,DWTC,8040,zoneD,1680,HZD06,NorthHall6,220,circulation
