rule_key,domain,severity,status,device_id,zone_id,hall_id,event_timestamp,detected_at,trigger_value,threshold_value,message,escalation_level,metadata,recommended_action,action_status,auto_response_executed,acknowledged_by,acknowledged_at,resolved_at,response_type,response_action
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,THSZB47,zoneB,HZB08,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,487260.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=487260.0 > 60.,0,"{""readingId"": ""423d4efe-8bc7-44a5-88db-9b1d13f82b61"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,104,2026-01-27 05:34:00+00:00,2026-01-29 05:14:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,CAMZB13,zoneB,HZB03,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,349380.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=349380.0 > 60.,0,"{""readingId"": ""4252ffb7-542c-46c4-a088-47f4bdcc51dc"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-27 08:58:00+00:00,2026-01-28 10:18:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,THSZB05,zoneB,HZB01,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,305880.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=305880.0 > 60.,0,"{""readingId"": ""a87d12f9-e75a-4b40-9c02-5c53dcff3e78"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,103,2026-01-27 09:33:00+00:00,2026-01-27 20:07:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,ENVZA07,zoneA,HZA01,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,775560.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=775560.0 > 60.,0,"{""readingId"": ""9e655ddd-76d4-423b-a394-83f0020e15ff"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,102,2026-01-27 07:43:00+00:00,2026-01-27 11:49:00+00:00,MANUAL,Check device connectivity
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZD10,zoneD,HZD02,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,686760.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=686760.0 > 60.,0,"{""readingId"": ""91aeee5a-1e46-401d-bf0f-dcef9aca374a"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,103,2026-01-26 17:29:00+00:00,2026-01-28 11:54:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,MEDIUM,NEW,EMETERZA01,zoneA,,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,111.54,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=111.54 > 50.,0,"{""readingId"": ""41072016-64e6-414d-8f85-d91a8b6f1595"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,COMPLETED,True,103,2026-01-27 08:24:00+00:00,2026-01-28 12:57:00+00:00,AUTOMATED,Optimize HVAC power distribution
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,OCCZA34,zoneA,HZA06,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,205800.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=205800.0 > 60.,0,"{""readingId"": ""7d3a6a5c-ec9d-4147-8372-e1cab18cc58d"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,103,2026-01-26 18:50:00+00:00,2026-01-27 23:48:00+00:00,MANUAL,Check device connectivity
SUS_POWER_SPIKE_001,SUSTAINABILITY,MEDIUM,NEW,EMETERZC01,zoneC,,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,101.54,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=101.54 > 50.,0,"{""readingId"": ""9a58e3da-691a-4df0-975e-406d5892dda3"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,COMPLETED,True,104,2026-01-26 20:07:00+00:00,2026-01-28 11:47:00+00:00,AUTOMATED,Optimize HVAC power distribution
SUS_POWER_SPIKE_001,SUSTAINABILITY,MEDIUM,NEW,EMETERZD01,zoneD,,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,113.27,50.0,SUS_POWER_SPIKE_001 triggered: hvacPowerKW=113.27 > 50.,0,"{""readingId"": ""93175e90-de3a-4240-9fa2-1a914bb01cbe"", ""readingType"": ""hvac_energy""}",Review HVAC efficiency and load,COMPLETED,True,101,2026-01-27 07:45:00+00:00,2026-01-27 21:52:00+00:00,AUTOMATED,Optimize HVAC power distribution
SEC_HEARTBEAT_001,SECURITY,HIGH,NEW,CAMZB44,zoneB,HZB08,2026-01-26T14:53:00+00:00,2026-01-26 14:53:00+00:00,316020.0,60.0,SEC_HEARTBEAT_001 triggered: lastHeartbeat_delay=316020.0 > 60.,0,"{""readingId"": ""d5237d58-3bab-4795-a232-8319da7cdae5"", ""readingType"": ""heartbeat""}",Check device connectivity,PENDING,False,103,2026-01-27 07:35:00+00:00,2026-01-29 05:45:00+00:00,MANUAL,Check device connectivity
